;;;;;
RUT CLIENTE;NOMBRE CLIENTE;NOMBRE OBRA;ID OBRA;CORREO CONTACTO;DIRECCION
76204860-4;CONSTRUCTORA PROAS LIMITADA;Cesfam San Vicente de Tagua Tagua;22440;jvilches@proas.cl;Av.Portales 80
99558680-0;CONSTRUCTORA SOCOVESA SANTIAGO S.A.;CHAMISERO ETAPA III;22835;esalinas@socovesa.cl;AV. PARQUE CHAMISERO 15900
99558680-0;CONSTRUCTORA SOCOVESA SANTIAGO S.A.;CHAMISERO IV ETAPA;23712;esalinas@socovesa.cl;AVDA PARQUE CHAMISERO 15900
76006938-8;Cosntructora Lampa Oriente S.A.;Chicauma Ciudad Parque Etapa 3,1;26802;csalinas@brotec-icafal.cl;Lote 1 Fundo Santa Teresa s/n
78056380-k;Danacorp S.A;CHILE - ESPAnA;22304;jcocampo@danacorp.cl;chile espana 105
76218278-5;MG INGENIERIA Y CONSTRUCCIONES SPA;Chlilexpress Curauma;22468;aandrade@mgsa.cl;Avenida Tupungato 3320
76170186-K;CONSTRUCTORA CN S.A;CIENFUEGOS 33;22353;;CIENFUEGOS 33
77352960-4;Industrial y Comercial STO Ltda.;Cierro Divisorio;24760;;AV. JOSE MIGUEL INFANTE 8456
88213400-8;EMPRESA CONSTRUCTORA DESCO S.A;Cimbra Losas Atlantico II;26879;egonzalez@desco.cl;Gómez Carreño 4030
96990200-1;Maestra construcciones s.a;CIMIENTOS ALTOS LA PALOMA II Y III;23636;;AV LAS CONDES 14157
86856700-7;CONSTRUCTORA NOVATEC S.A.;Ciudad del Este;22447;pmoralesz@novatec.cl;Sanchez Fontecilla 4335
78568830-9;CONSTRUCTORA WORNER SA;Clinica Los Andes Puerto Montt;23522;leonardo.tala.japaz@gmail.com;Bellavista 123
76267732-6;CONSTRUCTORA VELARCO SPA;CLUB DE RODEO;23672;;LA FABRICA 54
76927100-7;JUAN CARLOS BAHAMONDEZ ARAYA E.I.R.L.;CMPC - PLANTA NACIMIENTO;22710;jcblaja@gmail.com;AV. JULIO HAMMELMANN 670
14082048-2;Hector Gonzalez Perez;Cobertizo AMD;23791;hector.gonzalez@dom.cl;Segunda avenida  1351
99541460-0;Termika Camval S.A.;Codelco, División Ventana;26856;erojas@camval.cl;Codelco, División Ventana s/Nº
78134800-7;EMPRESA CONSTRUCTORA GREVIA LTDA.;COLEGIO ALEMAN CHICUREO;21965;jardiles@grevia.cl;LOTEO EL MANZANO GUAY GUAY PIEDRA ROJA S/N
76107451-2;ABN CONSTRUCCION SOCIEDAD DE RESPONSABILIDAD LTDA.;COLEGIO ALEMAN PUERTO VARAS;28025;sduhalde@abnconstruccion.cl;LOS ALPES 100
76007523-k;CONSTRUCTORA DE PRAGA LTDA.;COLEGIO BENJAMIN CLARO VELASCO;24311;;GUARQUEN 1166
89912300-K;Ingenieria Y Construccion Ricardo Rodriguez Y Cia Ltda;Colegio Las Nieves;22540;roque.rosales@gmail.com;Av. Concha y Toro 1898
76209260-3;SOCIEDAD CONST. E INMOB. FABBRO LTDA.;COLEGIO MARIA REINA;23085;;AV. LARRAIN 7473
76246895-6;MOMENTA CONSTRUCCIONES S.A.;COLEGIO MONTE TABOR;24088;sergio.alfaro@momenta.cl;AV. PIE ANDINO 5894
78440650-4;CONSTRUCTORA ALZeRRECA Y DIAZ LTDA.;COLEGIO NAHUELCURA MACHALi;22064;RCURI@ALZARRECAYDIAZ.CL;AVDA. SAN JUAN  378
76038849-1;CONSTRUCTORA SIMAD LTDA;COLEGIO NUESTRA SEÑORA DEL CAMINO;23819;norberto.platero@simad.cl;VICENTE PEREZ ROSALES 828
77745670-9;SOLUCIONES DIGITALES LIMITADA;COLEGIO PUERTO VARAS.;26842;secretaria@solucionesdigitales.cl;CAMINO VIEJO LLANQUIHUE PARCELA 11
76437908-K;CONSTRUCTORA D Y B SPA;COLEGIO ROSITA NOVARO;26851;aros.samuel@gmail.com;RELONCAVI - PALENA S/N
76053604-0;ESPACIO CUBIERTO S.A.;COLEGIO ROTARIO BRAVO - PUERTO MONTT;26823;molivares@espaciocubierto.com;CARDONAL  52
77078530-8;Constructora Abril S.A.;Colegio San Ignacio;23483;jose@constructoraabril.cl;Alonso Ovalle 1452
76131545-5;INVERSIONES CVC LIMITADA.;COLEGIO SAN JOSE;27921;luissm.hisur@gmail.com;EJERCITO C/ PADRE HARTER S/N
78243540-K;JOSE LUIS DIAZ Y CIA. LTDA.;COLEGIO SEMINARIO;22425;diazv14@gmail.com;MAR DE CHILE 10140
76977110-7;SOCIEDAD EDUCACIONAL NUEVO SIGLO S.A.;COLEGIO SIGLO XXI PUENTE ALTO;22003;coliva@tdg.cl;INDEPENDENCIA 1036
76152253-1;VISION SPA;COLEGIO VILLA MARIA ACADEMY;23051;mmuñoz@visionspa.cl;PRESIDENTE ERRAZURIZ  3753
76157798-0;OPTIMIZAR CONSTRUCCIONES LTDA.;COLINA;22330;optimizar.construcciones@gmail.com;CAMINO LOS ARRAYANES SITIO F1
96538850-8;Sociedad Inmobiliaria Piedra Roja S.A.;Colina La Gloria;21875;constructorapiedraroja@gmail.cl;Colina La Gloria 2386
99541460-0;Termika Camval S.A.;Collahuasi Riel HRT;22210;;Collahuasi S/N
76057002-8;Ecomsa Empresa Constructora S.A.;COLON 3616;24481;jcaballero@ecomsa.cl;AVENIDA COLON 3616
76440370-3;Constructora Ibanez Barahona Ltda.;COMEDOR ALBERGUE SAN JUAN VALDEZ;23832;rodrigo.vasquez@ecibl.cl;SAN JUAN VALDEZ 9554
96671230-9;Construcciones Especializadas Ltda;Comisaria lo Barnechea;22930;;Avda. El Rodeo 13541
78742000-1;KRAS CONSTRUCCIONES LIMITADA;COMPLEJO DEPORTIVO LAS ACACIAS;22177;sbg@kras.cl;LOS RAULIES 11.562
99557380-6;SOC CONCESIONARIA CENTRO JUSTICIA DE SANTIAGO S.A.;Concesionaria Centro Justicia Santiago;23885;hpoblete@ohl.cl;manuel rodriguez sur 2281
97004000-5;BANCO DE CHILE;COND. VICUnA MACKENNA PONIENTE;23448;emarchant@phcorp.cl;AVENIDA DEL VALLE 850
77710830-1;SOC. CONST. ECHAVARRI HERMANOS LTDA.;Condomini Fray Martin;26812;mvillegas@constructorasae.cl;Camino San Francisco de Asis 390
87851700-8;CONSTRUCTORA MANQUEHUE LTDA.;Condominio Aguas Claras;23144;catherine.calderon@imanquehue.com;Avenida Jose Rabat 9620
76043883-9;AMESTICA Y AMESTICA LTDA.;Condominio Aires de lo Orozco;22340;rbonnaud@gmail.com;Marga Marga 3150
76442773-4;CONSTRUCTORA CABALCO SPA;CONDOMINIO ARBOLEDA;24618;;SAN JUAN  146
76048251-K;CONSTRUCTORA INMOBILIARIA E INVERSIONES OVAL LTDA;Condominio Bicentenario;22642;ndonoso@constructoraoval.cl;Vecinal Norte  1280
77858110-8;Ingenieria y Construccion SIVEC Ltda.;CONDOMINIO CACERES LA REINA;22698;daniel.silva@sivec.cl;carlos silva vildosola 8619
76680710-0;INGESPACIO CONSTRUCTORA VICTOR MONTOYA SALA EIRL;CONDOMINIO CASAS DE LA SIERRA;22733;;SAN JOSE DE LA SIERRA 121
76310318-8;CONSTRUCTORA HAUSGLAS SPA;CONDOMINIO EL ALARIFE;26870;abravo@gmail.com;CAMINO EL ALARIFE 928
77710830-1;SOC. CONST. ECHAVARRI HERMANOS LTDA.;Condominio El Alba II;22785;rruiz@constructorasae.cl;Camino El Alba  10297
96844950-8;Ebco S.A.;CONDOMINIO ENTRE LOMAS DEL MAR;23608;;AV. SANTA MARIA 2454 2450
76107042-8;Constructora Viviendas 2000 Ltda.;Condominio General Gambino;21899;;Calle General Gambino  3400
76440370-3;Constructora Ibanez Barahona Ltda.;CONDOMINIO GRAN VISTA;24616;ingeniero@ecibl.cl;SANTA MARIAº 2000
80231300-4;CONSTRUCTORA CAPREVA S.A.;CONDOMINIO JARDIN URBANO III;24730;nsade@capreva.clo;LYNCH 950
78857390-1;CONSTRUCTORA PULMAHUE LIMITADA;CONDOMINIO JARDINES DE QUINTA NORMAL;21881;CHUARAPIL@FWC.CL  ;CALLE COMANDANTE CHACoN  5747
76060625-1;Constructora VDZ Spa.;CONDOMINIO JOSE MIGUEL INFANTE;22005;josorio@vdz.cl;Jose Miguel Infante 4618
96995580-6;Constructora de Viviendas y Montajes Ltda.;Condominio La Fuente;22163;fernando.martinez61@yahoo.cl;Chacabuco 978
77710830-1;SOC. CONST. ECHAVARRI HERMANOS LTDA.;CONDOMINIO LA LAGUNA;23423;mcerda@constructorasae.cl;Camino La Laguna 14740
77710830-1;SOC. CONST. ECHAVARRI HERMANOS LTDA.;CONDOMINIO LA REINA;23108;mcortes@constructorasae.cl;AVENIDA LARRAIN 10328
77921250-5;CONSTRUCTORA BOETSCH Y DEL REAL LTDA;CONDOMINIO LA REINA;22934;;CARLOS OSSANDON 968
76129612-4;Ingieneria y Asesorias Pragma Ltda.;Condominio la Villa;23010;pherrera@grupopragma.cl;Luis Thayer Ojeda |1671
76440370-3;Constructora Ibanez Barahona Ltda.;CONDOMINIO LABRA;22179;ingeniero@ecibl.cl;LAS LAVANDULAS 10869
10930769-6;M. FRANCISCA SANCHEZ LATORRE;CONDOMINIO LAS BRISAS DE CHICUREO;22610;franaugus@gmail.com;CAMINO LAS PERDICES SITIO F-01 ETAPA C
6828465-1;FELIPE ALFONSO REITZE GARRETON;CONDOMINIO LAS ENCINAS;24411;felipereitze@gmail.com;CAMINO COSTERO LLANQUIHUE - TOTORAL S/N
76440370-3;Constructora Ibanez Barahona Ltda.;CONDOMINIO LAS PALMAS;27948;ingeniero3@ecibl.cl;JULIA BERNSTEIN 1016
76107042-8;Constructora Viviendas 2000 Ltda.;Condominio Las Palmas III;24558;barbarahc@viviendas2000.com;Maria Elena  370
76107042-8;Constructora Viviendas 2000 Ltda.;CONDOMINIO LO GALLO;26778;carlosaa@viviendas2000.com;MONSEÑOR ESCRIBA DE BALAGUER 9195
96557050-0;DOMUS S.A.;Condominio Lo Ovalle II;22500;mmadariaga@maestra.cl;Lo Ovalle 0926
76246895-6;MOMENTA CONSTRUCCIONES S.A.;CONDOMINIO LOMAS DE JAVIERA;28034;SALVADOR.CORREA@MOMENTA.CL;AVENIDA JAVIERA CARRERA 0102
76048251-K;CONSTRUCTORA INMOBILIARIA E INVERSIONES OVAL LTDA;CONDOMINIO LOS ALMENDRALES;22346;rlobos@constructoraoval.cl;JOSE JOAQUIN PRIETO VIAL 10710
76081828-3;Constructora Los Cedros Spa;Condominio Los Cedros II;22708;;Escultora Rebeca Matte 2204
9987769-3;CHRISTIAN ALEJANDRO VALENZUELA MEINAS;CONDOMINIO LOS CHILCOS;23940;puelche.cl@gmail.com;DEPTO 6
76944200-6;CONSTRUCTORA PUNTO NORTE LTDA.;CONDOMINIO LOS REYES - REINA ISABEL EDIF3;28046;davidl@cpnorte.cl;AVDA PEDRO FONTOVA 7788
80231300-4;CONSTRUCTORA CAPREVA S.A.;CONDOMINIO LOS ROBLES ETAPA 1;23333;;AV FRANCIA 1790
77999760-k;Lo Campino Constructora Ltda.;Condominio Monte Verde;23730;cplaza@locampino.cl;Av. Chamisero 13316
76606320-9;Constructora Ingetasco Limitada;Condominio Natura etapa 2;22411;;camino publico el yeco S/N
76606320-9;Constructora Ingetasco Limitada;CONDOMINIO NATURA, ALGARROBO;23054;;AV. EL YECO  S/N
77601990-9;VERGARA Y CIA. LTDA.;CONDOMINIO OTONAL;23907;lcruzwood@gmail.com;Camino Otoñal  1225
76546200-2;Constructora Tres Efe Ltda.;Condominio Parque Bosque Mar;24074;hcastillo@itointegral.cl;Salvador Vergara  355
99558680-0;CONSTRUCTORA SOCOVESA SANTIAGO S.A.;CONDOMINIO PIEDRA ROJA EL SENDERO IV ETAPA;21946;ESALINAS@SOCOVESA.CL;AV PADRE SERGIO CORREA S/N
76212075-5;CONSTRUCTORA LEFCO S.A.;CONDOMINIO PLAYA BLANCA;22332;mnunez@lefco.cl;MAR DEL PLATA S/N
76060625-1;Constructora VDZ Spa.;CONDOMINIO SAN IGNACIO II;23089;pordenes@vdz.cl;RAMoN VERGARA 99
76107042-8;Constructora Viviendas 2000 Ltda.;Condominio Santa Blanca IV;22127;carlosaa@viviendas2000.cl;Avenida Manuel Montt 1750
76066482-0;Ingenieria y Construccion Icofi Ltda.;Condominio Vicente Perez Rosales 1700;24597;sibarra@icofi.cl;Vicente Perez Rosales 1700
77779870-7;CONSTRUCTORA CENTAURO LTDA.;CONDOMINIO VICUÑ MACKENNA PONIENTE;23716;emarchant@phcorp.cl;VICUÑA MACKENNA PONIENTE 6481
79562550-k;CONSTRUCTORA EL CANELO S.A.;CONDOMINIO VISTA MANQUEHUE II;24455;JKLAUS@CANELO.CL;calle sn  paralela los corchos, los pinos sn
79578400-4;Constructora Armas Ltda.;CONEXION  - PIO X;22567;mlopez@empresasarmas.cl;SAN PIO X 2445
76526257-7;CONSTRUCTORA BEATRIZ VENEGAS;CONJ. HABITACIONAL JARDIN PONIENTE II, RENCA;28068;jcharalamby@phcorp.cl;AVENIDA EL MONTIJO 1889
78780250-8;CONSTRUCTORA E INMOBILIARIA HUNEEUS Y ALLIENDE LTDA.;CONJUNTO CLAUDIO ARRAU;22816;;CLAUDIO ARRAU ESQUINA LA TRAVESIA S/N
76071594-8;INGENIERIA Y CONSTRUCCION DOMOTEC LIMITADA;CONJUNTO DE VIVIENDAS CARLOS OSSANDON;23102;ccorvalan@constructoradommotec.cl;CARLOS OSSANDON  877
76012891-0;CONSTRUCTORA SAN ISIDRO S.A;CONJUNTO OJOS DE AGUA - EDIFICIO A;24520;jcampusano@grepsa.cl;madrid  97
76152210-8;Soc. Constructora Nahuen Ltda.;Consalud Casa Matriz Estacionamientos;21913;;Avda. Pedro Fontova 6650
6774464-0;CONSTRUCTORA PATRICIA RIQUELME;CONSERVACION MOP LOS LAGOS;24754;constuctorapatriciariquelme@gmail.com;SEMINARIO C/ OHIGGINS S/N
77971370-9;EMPRESA CONSTRUCTORA PARINACOTA LTDA.;CONSISTORIAL LA ESTRELLA;22648;anavarro@empresasparinacota.c;DIEGO PORTALES  619
78742000-1;KRAS CONSTRUCCIONES LIMITADA;Consistorial Municipalidad de Palmilla;22880;;Juan Guillermo day s/n
76255193-4;CONSTRUCTORA SAN ALFONSO SPA;CONST. 2 ETAPA ING. INDUST. U DE CHILE;23695;nblasquez@constructorasanalfonso.com;REPUBLICA 779
15222300-5;JESICA CASTILLO AGUILAR;CONST.ACCESO TECHADO COLEGIO MIRADOR DEL LAGO;24719;fabiohenriquezneira@gmail.com;BULNES ESQUINA ERRAZURIZ  S/N
76437908-K;CONSTRUCTORA D Y B SPA;CONST.PATIO TECHADO ESC. ROSITA NOVARO;24692;julio.prevencionderiesgos@gmail.com;DEL PUENTE S/N
7477751-1;SEGUNDO BAHAMONDES MUnOZ;CONSTRUCCIoN AMPLIACIoN SALA SALAMES PROYECTO PLANTA N 2;22115;gonzalodurandonoso@hotmail.com;AVENIDA AMERICO VESPUCIO  1830
78489700-1;MADERERA Y COMERCIAL PINOSUR LTDA;CONSTRUCCION ANGAR;24360;camossi@vtr.net;CAMINO ENSENADA KM.14.5 PARC. 20
77002380-7;SOC. CONST. E INMOBILIARIA TRIMETAL LTDA;Construcción de Jardín Infantil Pellines;24582;;SARGENTO ALDEA 28
6956902-1;AUGUSTO OSVALDO GUTIERREZ GUAJARDO;CONSTRUCCIoN ESTANQUE ELEVADO;23002;rmiranda@iagg.cl;CALLE ANDES  S/N
93740000-4;EMPRESA CONSTRUCTORA PRECON S.A.;CONSTRUCCION ESTUDIO E2, E3 Y E3A;23782;rroa@precon.cl;AVENIDA VICUÑA MACKENNA 1348
10577612-8;DANIEL OSVALDO ANGULO MUÑOZ;CONSTRUCCION GALPON TRANSPORTE CASANOVA;24237;robertocontr@hotmail.com;RUTA 5 KM. 910
76051781-k;Christian M. Apablaza V. Ing. y Const. EIRL;CONSTRUCCION PAÑO JT4 SE VALDIVIA;24646;cristian.wohlwend@sincotek.cl;CAMINO ANTILHUE S/N
14377836-3;JAVIER VALDEBENITO CARRASCO;CONSTRUCCION PASARELA SALTOS PETROHUE;26868;javivalde77@gmail.com;PTROHUE S/N
76794120-K;Ingenieria y Montajes Geyce Ltda.;Construccion Patio de Transferencia Perz Caldera;22585;fpenalozal@gmail.com;Anglo American, Los Bronces, Ruta G 21 S/N
96611980-2;CONSTRUCTORA ANGELMO;CONSTRUCCION POLIDEPORTIVO PULMAHUE;22342;;Avenida Pulmahue  S/N
76204082-4;CRISTIAN CID FAUNDEZ CONST. E ING. EIRL;CONSTRUCCION REBALSE EMBALSE MINERA CON CON;22377;cristian.cid@sacid.cl;VERTEDERO MINERA CON CON  S/N
78960830-k;CONSTRUCTORA AIRES DEL SUR LTDA.;CONSTRUCCION REBALSE EMBALSE MINERA CON CON;22498;airesdelsur@vtr.net;VERTEDEO MINERA CON CON S/N S/N
84299100-5;EMPRESA CONSTRUCTORA DEL PACIFICO LTDA;Consultorio Adriana Madrid;21885;;FRANCISCO COSTABAL RUTA G67 C/CALLEJON SAN VICENTE S/N
15405644-0;FABIAN ANDRES SAAVEDRA MIRANDA;CONSULTORIO GENERAL RURAL ISLITA;22706;fabiansaavedram@gmail.com;RIO MAIPO 4517
77335840-0;GONZALEZ ACKERKNECHT LTDA.;CONTRATO ENLACE CIVIL INDUSTRIAL CALETONES;24177;fcord004@contratistas.codelco.cl;codelco chile div. el teniente 0
89853600-9;Constructora Ingevec S.A.;Copesa Torre A;22587;hlopez@ingevec.cl;Diagonal Vicuna Mackenna 2004
76091495-9;CONSTRUCTORA SANTA CARMEN LIMITADA;CORRECCION PUENTE PEATONAL EOM;24185;oleal@ccosac.cl;PDTE. EDUARDO FREI MONTALVA  9709
76060625-1;Constructora VDZ Spa.;Costanera Center;21820;;Avda. Andres Bello 2461
76060625-1;Constructora VDZ Spa.;COSTANERA CENTER II;22536;;Andres Bello 2045
77929090-5;STREET MACHINE PRODUCCIONES S.A.;CREAMFIELDS;23598;;EL SALTO (ESPACIO RIESCO) S/N
82751800-K;FARMACEUTICA DEL SUR LTDA.;CRUZ VERDE LLANQUIHUE;24704;farmaceuticadelsur@gmail.com;BAQUEDANO 506
99558680-0;CONSTRUCTORA SOCOVESA SANTIAGO S.A.;Cuartel PDI Lampa;28082;ltapiav@socovesa.cl;Trincaco 2150
76046551-8;INGENIERIA Y CONSTRUCCION ERRAZURIZ LTDA.;CUBIERTA COCIMIENTO CCU;23722;lsegura@errazurizltda.cl;EDUARDO FREI MONTALVA  8000
76053604-0;ESPACIO CUBIERTO S.A.;CUBIERTA PATIO LICEO VICUÑA MACKENNA;24659;;VICUÑA MACKENNA C/AV.JORGE ALESSANDRI S/N
76053604-0;ESPACIO CUBIERTO S.A.;CUBIERTA TECHADA - FERROCARRILES PURRANQUE;24415;;ESTACION FERROCARRILES S/N
86454800-8;CONSTRUCTORA QUEYLEN S.A.;CUMBRES DE CHAMISERO 3RA ETAPA;22360;hnunez@queylen.cl;AVDA CHAMISERO  S/N
86454800-8;CONSTRUCTORA QUEYLEN S.A.;CUMBRES DE CHAMISERO II ETAPA ADICIONAL;23602;;AV. ALONSO DE CORDOVA 2600  OFICINA 41
76418723-7;CONSTRUCTORA EL PEÑON SPA;CUMBRES DEL PEÑON M10;24775;naraneda@novatec.cl;Av. Los Corraleros 07498
96982890-1;CONSTRUCTORA SUDAMERICANA;DATA CENTER FALABELLA;24388;;PRESIDENTE FREI MONTALVA 3615
76121572-8;CONSTRUCTORA CERRO MORENO SUR LTDA;DECANTADORES PISICULTURA RIO RAHUE;24639;HERMANNFAULBAUM@CERROMORENOSUR.CL;CAMINO RUPANQUITO KM 3,2 FUNDO CANCURA S/N
76248050-6;Inversiones y Construcciones Tierras del Sur Ltda.;Deck Ripley Mall Plaza Oeste;22863;rramirez@ctierrasdelsur.cl;Av Americo Vespucio 1737
96701520-2;DOM S.A.;DOM PAIS COLOMBIA;22246;alexander.zambrano@akeroncaf.cl;COLOMBIA  0599
76257674-0;Constructora Marchetti SPA.;DUNALASTAIR;24445;fnavalon@constructoramarchetti.cl;LAS CONDES  11931
78069880-2;EMPRESA CONSTRUCTORA MARCHETTI;Dunalastair;24457;fnavalon@constructoramarchetti.cl;LAS CONDES  11931
76237052-2;INMOBILIARIA E INVERSIONES BODEGA VG LTDA.;ECOPALLETS PUDAHUEL;23147;omercado@bodegasvg.cl;AVENIDA RINCONADA  S/N
76062496-9;Constructora CPI Ltda.;Ed. Eliecer Parada;21788;cvalle@cpi.cl;Eliecer Parada 1233
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;Edidificio Ecuador II;24535;jmercado@santolaya.cl;Avenida Ecuador  4578
76525290-3;EBCOSUR S.A.;EDIF, PLAZA BINTRUP TORRE A;23568;jorge.gonzalez@ebcosur.cl;ALFONSO BINTRUP 1515
76107146-7;CONSTRUCTORA LOS ROMEROS LTDA.;EDIF. CONSULTAS MEDICAS OFTALMOLoGICAS ASTURIAS;22543;nmaturana@losromeros.cl;ASTURIAS 301
76262460-5;CONSTRUCTORA M3 S.A;Edif. Francisco de Riveros;24432;aerazo@constructoram3.cl;Francisco de Riveros  4343
79885340-6;CONSTRUCTORA GERARDO INFANTE Y CIA. LTDA.;EDIF. LIBERTAD Y DESARROLLO;22313;scornejo@altiplano.tie.cl;ALCANTARA 498
76090021-4;Entorno Construcciones Ltda.;Edif. Rio II;23960;p.ramirez@entornoconstructora.cl;Santa Filomena 290
88127800-6;BOETSCH S.A.;EDIF. VISTA HERMOSA;23068;evargas@boetsch.cl;PRIETO  S/N
76968910-9;SOC.CONSTR.E.INMOB. QUINTEROS Y TAPIA LTDA.;EDIFICIO  SOL  ANDINO;21923;marcelo.cortes.m@gmail.com;SERRANO 334
96990200-1;Maestra construcciones s.a;EDIFICIO 1 ALTO LA PALOMA;23634;;AV LAS CONDES 14157
89853600-9;Constructora Ingevec S.A.;Edificio 11 de Septiembre;21812;fcornejo@ingevec.cl;Dr. Manuel Barros Borgono 71
96990200-1;Maestra construcciones s.a;EDIFICIO 2 ALTO LA PALOMA;23632;;AV LAS CONDES 14157
76117617-K;CONSTRUCTORA BEFCO S.A.;EDIFICIO 3M;23991;;AVDA. SANTA ISABEL   1001
76057002-8;Ecomsa Empresa Constructora S.A.;EDIFICIO ADMUNSEN;22153;;Admunsen 2170
78534370-0;CONSTRUCTORA TERRAMAR LTDA.;EDIFICIO AL RIGGA;21931;DANILOFARRI@TERRAMAR.CL;EMILIO VAISSE 590
78522940-1;CONSTRUCTORA BASALTO;EDIFICIO ALBERTO HENCKEL;22175;SPLANAS@BASALTO.CL;ALBERTO HENCKEL 2355
76119508-5;CONSTRUCTORA CAMPOREAL LTDA;EDIFICIO ALERCE;24326;m.cisterna@camporeal.cl;AVENIDA FREIRE 1327
76004171-8;Contructora Ecsa Ltda;Edificio Almirante Latorre;22867;mallendes@santolaya.cl;Almirante Latorre 602
89853600-9;Constructora Ingevec S.A.;Edificio Alonso de Cordova;24151;lpino@ingevec.cl;Alonso de Cordova 5752
76177317-8;Constructora S & T Limitada;EDIFICIO ALONSO DE OVALLE;23348;asepulveda@constructoramacep.cl;ALONSO DE OVALLE 1135
96568180-9;ENACO LAS VERTIENTES S.A.;EDIFICIO ALTOS DE ASIS;22853;mauricio.acuna@enaco.cl;CAMINO SAN FRANCISCO DE ASIS 1800
76257674-0;Constructora Marchetti SPA.;Edificio Aquarela;23878;dolea@constructoramarchetti.cl;Marbella Lote G, sitio 37 37
96844950-8;Ebco S.A.;EDIFICIO ARCADIA;27941;carolina.rivera@ebco.cl;AVENIDA LOS PAJARITOS 6586
76701920-3;Constructora BSC Ltda.;Edificio Argentina;21841;hherz@grupobsc.cl;Calle Argentina 8605
76057002-8;Ecomsa Empresa Constructora S.A.;Edificio Atrio Vitacura;22668;gdonoso@ecomsa.cl;Encomenderos 231 of 401
79578400-4;Constructora Armas Ltda.;Edificio Av. Italia;22554;gvivanco@empresasarmas.cl;Av. Italia 2040
76012891-0;CONSTRUCTORA SAN ISIDRO S.A;Edificio Barlovento;24564;cgonzalez@grepsa.cl;O´higgins 1338
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;Edificio Barros Errazuriz;22579;osanjose@santolaya.cl;Barros Errazuriz 1900
76137422-2;S Y B INGENIERIA Y CONSTRUCCION LIMITADA;EDIFICIO BASCUnAN;23093;alejandroastudillo@syblimitada.cl;BASCUnAN GUERRERO 371
76004090-8;EMPRESA CONSTRUCTORA ALBORADA LTDA.;EDIFICIO BELLAVISTA;22515;plopez@constalborada.cl;BELLAVISTA 910
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;Edificio Bellet II;22896;csoto@santolata.cl;Antonio Bellet 290
76004090-8;EMPRESA CONSTRUCTORA ALBORADA LTDA.;EDIFICIO BERLIN;24199;hernanbarros.1961@gmail.com;BERLIN 1602
88332900-7;CONSTRUCCIONES Y ESTRUCTORA DEL SOL;Edificio Bonavista;22712;;Walker Martinez 3350
84102200-9;EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO LTDA;EDIFICIO BOULEVARD ORIENTE;24664;jalvarez@bravoizquierdo.cl;4 NORTE 1093
76062496-9;Constructora CPI Ltda.;Edificio Bremen;27957;eplaza@cpi.cl;Bremen 1047
76606320-9;Constructora Ingetasco Limitada;Edificio Bucarest;22865;jplaza@ingetasco.cl;Bucarest 150
78059940-5;SPONDELLI Cia Ltda;EDIFICIO BUENAVISTA;23610;;CONCEPCION 120 OFICINA 401
80231300-4;CONSTRUCTORA CAPREVA S.A.;EDIFICIO CAJA DE COMPENSACIoN LA ARAUCANA;22146;nsade@capreva.cl;CARAMPANGUE 368
77385940-k;Constructora e inmobiliaria Raab Ltda.;EDIFICIO CANCHAS PADEL;23493;CONSTRUCTORA.RAAB@GMAIL.COM;PASAJE KAHL S/N
86454800-8;CONSTRUCTORA QUEYLEN S.A.;EDIFICIO CANTIL VALDIVIA;23758;Kpajarito@queylen.cl;Camino Curiñanco Km1 S/N
76236553-7;CONSTRUCTORA VICONSA LIMITADA;EDIFICIO CATALEJO;24092;rmiller@viconsa.cl;Av Francisco Soza Bosque de Montemar 750
78342920-9;Empresa de Constructores Coin Ltda.;EDIFICIO CATEDRAL;24654;patricio.garcia@coinltda.cl;CATEDRAL 2850
77113720-2;COLLICO LTDA.;Edificio Caupolican;22905;;Caupolican 1061
76701920-3;Constructora BSC Ltda.;EDIFICIO CENTRO FLORIDA III;23516;jacevedo@grupobsc.cl;RUPANCO 400
77710830-1;SOC. CONST. ECHAVARRI HERMANOS LTDA.;EDIFICIO CHARLES HAMILTON;22401;cballadares@constructorasae.cl;AV. CHARLES HAMILTON 10569
77545630-2;SOCIEDAD DE SERVICIOS INDUSTRIALES VALDEBENITO  Y CIA LTDA.;Edificio Chilevisión - Machasa;26770;marcelo.vasquez@machchile.cl;Centenario 2400
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;Edificio City El Descanso;23488;mcampos@santolaya.cl;av americo vespucio  2155
76203052-7;CONST. DAVID LEANDRO MANQUENAHUEL EIRL;EDIFICIO CLAUDIO GAY;23529;;CLAUDIO GAY 2833
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;EDIFICIO CLINICA CRUZ BLANCA;24561;carriagada@icon.cl;santos dumont 999
78588540-6;CONSTRUCTORA NUEVO AMANECER LTDA.;EDIFICIO COMERCIAL BALMACEDA;22101;jorge.vasquez@gmail.com;DIEGO PORTALES 895
76161356-1;Sociedad Constructora Pincheira Ltda.;Edificio Comercial Di Lido Dardinac;22940;gpavezi@gmail.com;Dardignac  119
